Connected to ESP32-CAM at http://192.168.128.66:81/stream. Press 'q' to quit.
Capture: 18.97 ms | MediaPipe: 117.04 ms | Show: 0.00 ms
Capture: 1.98 ms | MediaPipe: 119.12 ms | Show: 0.00 ms
Capture: 4.70 ms | MediaPipe: 67.13 ms | Show: 0.00 ms
Capture: 2.01 ms | MediaPipe: 83.97 ms | Show: 0.00 ms
Capture: 7.17 ms | MediaPipe: 92.82 ms | Show: 0.00 ms
Capture: 1.98 ms | MediaPipe: 117.65 ms | Show: 0.00 ms

FPS: 9 | Hand FPS: 9 | No-Hand FPS: 0

Capture: 3.21 ms | MediaPipe: 133.94 ms | Show: 0.00 ms
Capture: 6.62 ms | MediaPipe: 93.64 ms | Show: 0.00 ms
Capture: 3.78 ms | MediaPipe: 61.13 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 87.34 ms | Show: 0.00 ms
Capture: 3.33 ms | MediaPipe: 59.36 ms | Show: 0.00 ms
Capture: 3.51 ms | MediaPipe: 83.67 ms | Show: 0.00 ms
Capture: 2.01 ms | MediaPipe: 110.21 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 81.87 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 74.40 ms | Show: 0.00 ms
Capture: 2.02 ms | MediaPipe: 81.95 ms | Show: 0.00 ms

FPS: 10 | Hand FPS: 10 | No-Hand FPS: 0

Capture: 3.01 ms | MediaPipe: 75.74 ms | Show: 0.00 ms
Capture: 1.97 ms | MediaPipe: 65.48 ms | Show: 0.00 ms
Capture: 2.03 ms | MediaPipe: 116.08 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 161.18 ms | Show: 1.00 ms
Capture: 2.00 ms | MediaPipe: 198.99 ms | Show: 0.00 ms
Capture: 2.95 ms | MediaPipe: 168.58 ms | Show: 0.00 ms
Capture: 3.98 ms | MediaPipe: 91.71 ms | Show: 1.11 ms
