Connected to ESP32-CAM at http://192.168.128.66:81/stream. Press 'q' to quit.
Capture: 0.00 ms | MediaPipe: 39.48 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 33.59 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 42.35 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 36.24 ms | Show: 1.00 ms
Capture: 0.00 ms | MediaPipe: 51.86 ms | Show: 1.00 ms
Capture: 2.04 ms | MediaPipe: 36.38 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 39.34 ms | Show: 1.01 ms
Capture: 0.00 ms | MediaPipe: 33.07 ms | Show: 0.00 ms
Capture: 1.03 ms | MediaPipe: 102.32 ms | Show: 0.00 ms
Capture: 0.58 ms | MediaPipe: 82.70 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 92.01 ms | Show: 0.00 ms
Capture: 0.97 ms | MediaPipe: 108.07 ms | Show: 0.00 ms
Capture: 0.32 ms | MediaPipe: 85.83 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 89.56 ms | Show: 1.00 ms
Capture: 0.00 ms | MediaPipe: 89.44 ms | Show: 1.00 ms
Capture: 0.00 ms | MediaPipe: 65.77 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 102.90 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 76.33 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 68.62 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 62.67 ms | Show: 1.00 ms
Capture: 1.01 ms | MediaPipe: 64.51 ms | Show: 0.00 ms
Capture: 0.54 ms | MediaPipe: 69.95 ms | Show: 0.00 ms
Capture: 0.99 ms | MediaPipe: 62.43 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 75.65 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 81.87 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 73.52 ms | Show: 0.00 ms
Capture: 0.99 ms | MediaPipe: 61.22 ms | Show: 0.00 ms
